enormously,tremendously,tremendously,correct
provisions,stipulations,interpretations,wrong
haphazardly,randomly,randomly,correct
prominent,conspicuous,battered,wrong
zenith,pinnacle,decline,wrong
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,caught,wrong
advent,coming,coming,correct
concisely,succinctly,positively,wrong
salutes,greetings,ceremonies,wrong
solitary,alone,alert,wrong
hasten,accelerate,determine,wrong
perseverance,endurance,skill,wrong
fanciful,imaginative,logical,wrong
showed,demonstrated,published,wrong
constantly,continually,accidentally,wrong
issues,subjects,salaries,wrong
furnish,supply,supply,correct
costly,expensive,complicated,wrong
recognized,acknowledged,welcomed,wrong
spot,location,location,correct
make,earn,trade,wrong
often,frequently,definitely,wrong
easygoing,relaxed,boring,wrong
debate,argument,competition,wrong
narrow,thin,freezing,wrong
arranged,planned,discarded,wrong
infinite,limitless,relative,wrong
showy,striking,prickly,wrong
levied,imposed,requested,wrong
deftly,skillfully,prudently,wrong
distribute,circulate,research,wrong
discrepancies,differences,wavelengths,wrong
prolific,productive,serious,wrong
unmatched,unequaled,alienated,wrong
peculiarly,uniquely,partly,wrong
hue,color,color,correct
hind,rear,curved,wrong
highlight,accentuate,alter,wrong
hastily,hurriedly,shrewdly,wrong
temperate,mild,cold,wrong
grin,smile,exercise,wrong
verbally,orally,overtly,wrong
physician,doctor,pharmacist,wrong
essentially,basically,ordinarily,wrong
keen,sharp,useful,wrong
situated,positioned,rotating,wrong
principal,major,exceptional,wrong
slowly,gradually,rarely,wrong
built,constructed,proposed,wrong
tasks,jobs,jobs,correct
unlikely,improbable,unpopular,wrong
halfheartedly,apathetically,bipartisanly,wrong
annals,chronicles,chronicles,correct
wildly,furiously,abruptly,wrong
hailed,acclaimed,remembered,wrong
command,mastery,mastery,correct
concocted,devised,requested,wrong
prospective,potential,potential,correct
generally,broadly,descriptively,wrong
sustained,prolonged,prolonged,correct
perilous,dangerous,offensive,wrong
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,disguise,wrong
primarily,chiefly,consistently,wrong
colloquial,conversational,recorded,wrong
resolved,settled,settled,correct
feasible,possible,equitable,wrong
expeditiously,rapidly,rapidly,correct
percentage,proportion,proportion,correct
terminated,ended,posed,wrong
uniform,alike,complex,wrong
figure,solve,solve,correct
sufficient,enough,enough,correct
fashion,manner,fathom,wrong
marketed,sold,frozen,wrong
bigger,larger,larger,correct
roots,origins,rituals,wrong
normally,ordinarily,permanently,wrong
